row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-10 04:00,2024-01-10,04:00,13 °C,Overcast.,9 km/h,90%,983 mbar,16 km
2024-01-10 04:27,2024-01-10,04:27,13 °C,Passing clouds.,7 km/h,90%,983 mbar,16 km
2024-01-10 04:51,2024-01-10,04:51,14 °C,Light rain. Partly cloudy.,11 km/h,83%,982 mbar,16 km
2024-01-10 05:16,2024-01-10,05:16,13 °C,Light rain. Partly cloudy.,19 km/h,69%,984 mbar,16 km
2024-01-10 05:51,2024-01-10,05:51,11 °C,Mostly cloudy.,9 km/h,64%,984 mbar,16 km
2024-01-10 06:51,2024-01-10,06:51,11 °C,Mostly cloudy.,19 km/h,59%,985 mbar,16 km
2024-01-10 07:51,2024-01-10,07:51,10 °C,Mostly cloudy.,15 km/h,57%,987 mbar,16 km
2024-01-10 08:51,2024-01-10,08:51,9 °C,Partly sunny.,17 km/h,57%,989 mbar,16 km
2024-01-10 09:51,2024-01-10,09:51,9 °C,Sunny.,19 km/h,46%,990 mbar,16 km
2024-01-10 10:51,2024-01-10,10:51,9 °C,Partly sunny.,11 km/h,48%,991 mbar,16 km
2024-01-10 12:51,2024-01-10,12:51,10 °C,Overcast.,N/A,41%,992 mbar,16 km
2024-01-10 13:51,2024-01-10,13:51,9 °C,Overcast.,19 km/h,44%,994 mbar,16 km
2024-01-10 14:51,2024-01-10,14:51,9 °C,Overcast.,24 km/h,44%,995 mbar,16 km
